series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,challenge,bake,dessert,chocolate,fruit,nut
1,3,Edd,1st,IN,31 August 2010,NA,NA,signature,olive bread,other,no chocolate,fruit,no nut
1,3,Jasminder,5th,IN,31 August 2010,NA,NA,signature,focaccia,other,no chocolate,no fruit,no nut
1,3,Miranda,3rd,IN,31 August 2010,NA,NA,signature,walnut and apricot bread,other,no chocolate,fruit,walnut
1,3,Ruth,2nd,IN,31 August 2010,NA,NA,signature,maple and pecan bread,other,no chocolate,no fruit,pecan
1,3,Jonathan,6th,OUT,31 August 2010,NA,NA,signature,"anchovy, sweet paprika and oregano bread",other,no chocolate,no fruit,no nut
1,4,Edd,3rd,IN,7 September 2010,NA,NA,signature,apple and plum pudding,pudding,no chocolate,fruit,no nut
1,4,Jasminder,2nd,IN,7 September 2010,NA,NA,signature,sticky toffee pudding with tropical fruit & toffee sauce,pudding,no chocolate,no fruit,no nut
1,4,Miranda,1st,IN,7 September 2010,NA,NA,signature,sticky toffee pudding,pudding,no chocolate,no fruit,no nut
1,4,Ruth,4th,IN,7 September 2010,NA,NA,signature,peach and blueberry boy bait,other,no chocolate,fruit,no nut
1,4,David,5th,OUT,7 September 2010,NA,NA,signature,pear and walnut pudding,pudding,no chocolate,fruit,walnut
1,5,Edd,2nd,IN,14 September 2010,NA,NA,signature,"chicken, ham, leek and tarragon pie",pie,no chocolate,no fruit,no nut
1,5,Miranda,1st,IN,14 September 2010,NA,NA,signature,"summery salmon, cod and prawn fish pie",pie,no chocolate,no fruit,no nut
1,5,Ruth,3rd,IN,14 September 2010,NA,NA,signature,minced beef pie,pie,no chocolate,no fruit,no nut
1,5,Jasminder,4th,OUT,14 September 2010,NA,NA,signature,chicken and mushroom pie,pie,no chocolate,no fruit,no nut
1,6,Ruth,N/A,RUNNER UP,21 September 2010,NA,NA,signature,"mint, ginger and blackberry cake",cake,no chocolate,fruit,no nut
1,6,Miranda,N/A,RUNNER UP,21 September 2010,NA,NA,signature,lemon cupcake,cake,no chocolate,fruit,no nut
1,6,Edd,N/A,WINNER,21 September 2010,NA,NA,signature,cinnamon and banana cake,cake,no chocolate,fruit,no nut
2,1,Ben,2nd,IN,16 August 2011,NA,NA,signature,"rhubarb and custard cupcakes
after dinner cupcakes",cake,no chocolate,no fruit,no nut
2,1,Ian,10th,IN,16 August 2011,NA,NA,signature,apple and cinnamon cupcakes,cake,no chocolate,fruit,no nut
2,1,Janet,8th,IN,16 August 2011,NA,NA,signature,raspberry and cream cupcakes,cake,no chocolate,fruit,no nut
2,1,Jason,6th,IN,16 August 2011,NA,NA,signature,"lemon meringue cupcakes
apple and cinnamon cupcakes",cake,no chocolate,fruit,no nut
2,1,Joanne,11th,IN,16 August 2011,NA,NA,signature,"chocolate orange cupcakes
orange and cardamom cupcakes",cake,chocolate,fruit,no nut
2,1,Mary-Anne,4th,IN,16 August 2011,NA,NA,signature,banoffee cupcakes,cake,no chocolate,no fruit,no nut
2,1,Robert,3rd,IN,16 August 2011,NA,NA,signature,"blackberry and vanilla cupcakes
with liquorice frosting",cake,no chocolate,fruit,no nut
2,1,Simon,9th,IN,16 August 2011,NA,NA,signature,guinness and chocolate cupcakes,cake,chocolate,no fruit,no nut
2,1,Urvashi,7th,IN,16 August 2011,NA,NA,signature,cherry blossom cupcakesjapanese lime cupcakes,cake,no chocolate,fruit,no nut
2,1,Yasmin,5th,IN,16 August 2011,NA,NA,signature,cardamom and pomegranate cupcakes,cake,no chocolate,fruit,no nut
2,1,Keith,12th,OUT,16 August 2011,NA,NA,signature,earl grey cupcakes,cake,no chocolate,no fruit,no nut
2,1,Holly,1st,SB,16 August 2011,NA,NA,signature,"cherry bakewell inspired cupcakes
ginger cupcakes with fig truffle",cake,no chocolate,fruit,no nut
2,2,Ben,1st,IN,23 August 2011,NA,NA,signature,"chorizo, pepper and gruyere quiche",other,no chocolate,no fruit,no nut
2,2,Holly,4th,IN,23 August 2011,NA,NA,signature,pesto quiche,other,no chocolate,no fruit,no nut
2,2,Ian,2nd,IN,23 August 2011,NA,NA,signature,"stilton, spinach and new potato quiche
with paprika and walnut pastry",other,no chocolate,fruit,walnut
2,2,Janet,8th,IN,23 August 2011,NA,NA,signature,quiche printanière,other,no chocolate,no fruit,no nut
2,2,Joanne,10th,IN,23 August 2011,NA,NA,signature,"caramelised onion, gruyere and thyme quiche",other,no chocolate,no fruit,no nut
2,2,Mary-Anne,9th,IN,23 August 2011,NA,NA,signature,"roasted cauliflower, cheese and
caramelised onion quiche",other,no chocolate,no fruit,no nut
2,2,Robert,5th,IN,23 August 2011,NA,NA,signature,smoked bacon and kale quiche,other,no chocolate,no fruit,no nut
2,2,Urvashi,7th,IN,23 August 2011,NA,NA,signature,"crab, coriander and coconut quiche",other,no chocolate,fruit,no nut
2,2,Yasmin,6th,IN,23 August 2011,NA,NA,signature,smoked haddock and watercress quiche,other,no chocolate,no fruit,no nut
2,2,Simon,11th,OUT,23 August 2011,NA,NA,signature,smoked haddock and watercress quiche,other,no chocolate,no fruit,no nut
2,2,Jason,3rd,SB,23 August 2011,NA,NA,signature,salmon and pak choi quiche,other,no chocolate,no fruit,no nut
2,3,Ben,3rd,IN,30 August 2011,NA,NA,signature,"walnut, raisin and rosemary loaf",other,no chocolate,fruit,walnut
2,3,Holly,6th,IN,30 August 2011,NA,NA,signature,picnic loaf,other,no chocolate,no fruit,no nut
2,3,Janet,8th,IN,30 August 2011,NA,NA,signature,zupfe loaf with gruyère cheese,other,no chocolate,no fruit,no nut
2,3,Jason,7th,IN,30 August 2011,NA,NA,signature,cheese and onion tear and share loaf,other,no chocolate,no fruit,no nut
2,3,Joanne,1st,IN,30 August 2011,NA,NA,signature,"stromboli flavored with mozzarella, ham, and picante pepper",other,no chocolate,no fruit,no nut
2,3,Mary-Anne,5th,IN,30 August 2011,NA,NA,signature,ploughman's loaf,other,no chocolate,no fruit,no nut
2,3,Robert,4th,IN,30 August 2011,NA,NA,signature,rye and coriander seed loaf,other,no chocolate,no fruit,no nut
2,3,Ian,10th,OUT,30 August 2011,NA,NA,signature,"courgette, caerphilly cheese and thyme loaf",other,no chocolate,no fruit,no nut
2,3,Urvashi,9th,OUT,30 August 2011,NA,NA,signature,salt and peppercorn loaf,other,no chocolate,no fruit,no nut
2,3,Yasmin,2nd,SB,30 August 2011,NA,NA,signature,egyptian dukkah loaf with mixed spices,other,no chocolate,no fruit,no nut
2,4,Janet,4th,IN,6 September 2011,NA,NA,signature,christmas marzipan biscuits,other,no chocolate,no fruit,no nut
2,4,Joanne,8th,IN,6 September 2011,NA,NA,signature,lavender biscuits,other,no chocolate,no fruit,no nut
2,4,Mary-Anne,2nd,IN,6 September 2011,NA,NA,signature,melting moments,other,no chocolate,no fruit,no nut
2,4,Robert,7th,IN,6 September 2011,NA,NA,signature,chocolate and ginger oat biscuits,other,chocolate,no fruit,no nut
2,4,Yasmin,6th,IN,6 September 2011,NA,NA,signature,chocolate chip and pistachio biscotti,other,chocolate,no fruit,pistachio
2,4,Ben,5th,OUT,6 September 2011,NA,NA,signature,stem ginger nuts,other,no chocolate,fruit,no nut
2,4,Holly,3rd,SB,6 September 2011,NA,NA,signature,strawberry and custard melts,pudding,no chocolate,fruit,no nut
2,4,Jason,1st,SB,6 September 2011,NA,NA,signature,lebkuchen,other,no chocolate,no fruit,no nut
2,5,Holly,4th,IN,13 September 2011,NA,NA,signature,"stilton, potato and caramelised onion pie",pie,no chocolate,no fruit,no nut
2,5,Joanne,6th,IN,13 September 2011,NA,NA,signature,salmon and asparagus pie,pie,no chocolate,no fruit,no nut
2,5,Mary-Anne,2nd,IN,13 September 2011,NA,NA,signature,chicken and bacon pie,pie,no chocolate,no fruit,no nut
2,5,Yasmin,5th,IN,13 September 2011,NA,NA,signature,family fish pie,pie,no chocolate,no fruit,no nut
2,5,Jason,7th,OUT,13 September 2011,NA,NA,signature,brown down chicken pie,pie,no chocolate,no fruit,no nut
2,5,Robert,3rd,OUT,13 September 2011,NA,NA,signature,chicken and mushroom pie,pie,no chocolate,no fruit,no nut
2,5,Janet,1st,SB,13 September 2011,NA,NA,signature,chicken and chestnut pie,pie,no chocolate,fruit,no nut
2,6,Holly,3rd,IN,20 September 2011,NA,NA,signature,father christmas' baked cheesecake,cake,no chocolate,no fruit,no nut
2,6,Janet,5th,IN,20 September 2011,NA,NA,signature,rhubarb and ginger baked cheesecake,cake,no chocolate,no fruit,no nut
2,6,Mary-Anne,4th,IN,20 September 2011,NA,NA,signature,tutti fruitti curd baked cheesecake,cake,no chocolate,no fruit,no nut
2,6,Yasmin,2nd,OUT,20 September 2011,NA,NA,signature,baked amaretto cheesecake,cake,no chocolate,no fruit,no nut
2,6,Joanne,1st,SB,20 September 2011,NA,NA,signature,rum and raisin baked cheesecake,cake,no chocolate,fruit,no nut
2,7,Holly,1st,IN,27 September 2011,NA,NA,signature,"white chocolate, hazelnut and raspberry genoise mousse cake",cake,chocolate,fruit,filbert
2,7,Joanne,3rd,IN,27 September 2011,NA,NA,signature,raspberry & strawberry mousse cake,cake,no chocolate,fruit,no nut
2,7,Mary-Anne,2nd,IN,27 September 2011,NA,NA,signature,chocolate and orange mousse cake,cake,chocolate,fruit,no nut
2,7,Janet,4th,OUT,27 September 2011,NA,NA,signature,chocolate amaretto mousse cake,cake,chocolate,no fruit,no nut
2,8,Holly,2nd,RUNNER UP,4 October 2011,NA,NA,signature,banoffee inspired mille feuille,other,no chocolate,no fruit,no nut
2,8,Mary-Anne,3rd,RUNNER UP,4 October 2011,NA,NA,signature,lemon and ginger mille feuille,other,no chocolate,fruit,no nut
2,8,Joanne,1st,WINNER,4 October 2011,NA,NA,signature,raspberry and blueberry mille feuille,other,no chocolate,fruit,no nut
3,1,Brendan,10th,IN,14 August 2012,NA,NA,signature,"plum, sour cherry & walnut upside down cake",cake,no chocolate,fruit,walnut
3,1,Cathryn,5th,IN,14 August 2012,NA,NA,signature,"apple, hazelnut and calvados upside down cake",cake,no chocolate,fruit,filbert
3,1,Danny,7th,IN,14 August 2012,NA,NA,signature,"plum, ginger & orange upside down cake",cake,no chocolate,fruit,no nut
3,1,James,2nd,IN,14 August 2012,NA,NA,signature,"parsnip, pear, and pecan upside down cake",cake,no chocolate,fruit,pecan
3,1,John,11th,IN,14 August 2012,NA,NA,signature,"toffee apple, orange & cranberry upside down cake",cake,no chocolate,fruit,no nut
3,1,Manisha,6th,IN,14 August 2012,NA,NA,signature,"vanilla, peach and raspberry upside down cake",cake,no chocolate,fruit,no nut
3,1,Peter,3rd,IN,14 August 2012,NA,NA,signature,"pear, muscat & chocolate upside down cake",cake,chocolate,fruit,no nut
3,1,Ryan,8th,IN,14 August 2012,NA,NA,signature,kumquat and orange polenta upside down cake,cake,no chocolate,fruit,no nut
3,1,Sarah-Jane,1st,IN,14 August 2012,NA,NA,signature,"pear, chocolate and hazelnut upside down cake",cake,chocolate,fruit,filbert
3,1,Stuart,9th,IN,14 August 2012,NA,NA,signature,tomato and ginger upside down cake,cake,no chocolate,fruit,no nut
3,1,Natasha,12th,OUT,14 August 2012,NA,NA,signature,pineapple & passion fruit upside down cake,cake,no chocolate,fruit,no nut
3,1,Victoria,4th,SB,14 August 2012,NA,NA,signature,pear and pecan upside down cake,cake,no chocolate,fruit,pecan
3,2,Brendan,4th,IN,21 August 2012,NA,NA,signature,"middle eastern taboon bread
indian roti",other,no chocolate,no fruit,no nut
3,2,Cathryn,8th,IN,21 August 2012,NA,NA,signature,"spiced mango naan
lime, coriander and chilli tortilla",other,no chocolate,fruit,no nut
3,2,Danny,3rd,IN,21 August 2012,NA,NA,signature,"lime coriander and coconut tortillas
zaatar naan with dukkah",other,no chocolate,fruit,no nut
3,2,James,2nd,IN,21 August 2012,NA,NA,signature,"tomato, garlic, and parmesan flatbreadtattie scones",other,no chocolate,fruit,no nut
3,2,Manisha,6th,IN,21 August 2012,NA,NA,signature,"indian flatbreads
italian flatbreads",other,no chocolate,no fruit,no nut
3,2,Ryan,5th,IN,21 August 2012,NA,NA,signature,"shanghai spring onion flatbread
garlic and coriander naan",other,no chocolate,no fruit,no nut
3,2,Sarah-Jane,10th,IN,21 August 2012,NA,NA,signature,coconut rotioatcakes,cake,no chocolate,fruit,no nut
3,2,Stuart,9th,IN,21 August 2012,NA,NA,signature,"bombay bread
chorizo and spring onion naan",other,no chocolate,no fruit,no nut
3,2,Victoria,7th,IN,21 August 2012,NA,NA,signature,"coriander and lemon naan
garlic and parsnip chapatis",other,no chocolate,fruit,no nut
3,2,Peter,11th,OUT,21 August 2012,NA,NA,signature,fennel and nigella seed naanbannock bread,other,no chocolate,no fruit,no nut
3,2,John,1st,SB,21 August 2012,NA,NA,signature,"coriander and chilli rotis
garlic, pomegranate and potato pitas",other,no chocolate,fruit,no nut
3,3,Brendan,9th,IN,28 August 2012,NA,NA,signature,apple and ginger tarte tatin,pie,no chocolate,fruit,no nut
3,3,Cathryn,3rd,IN,28 August 2012,NA,NA,signature,"plum, cherry and five spice tarte tatin",pie,no chocolate,fruit,no nut
3,3,Danny,2nd,IN,28 August 2012,NA,NA,signature,savoury pear and roquefort tarte tatin,pie,no chocolate,fruit,no nut
3,3,John,6th,IN,28 August 2012,NA,NA,signature,apple and vanilla tarte tatin with walnut praline,pie,no chocolate,fruit,walnut
3,3,Manisha,10th,IN,28 August 2012,NA,NA,signature,"cinnamon, apple and pear tarte tatin",pie,no chocolate,fruit,no nut
3,3,Ryan,5th,IN,28 August 2012,NA,NA,signature,spiced pear tarte tatin,pie,no chocolate,fruit,no nut
3,3,Sarah-Jane,8th,IN,28 August 2012,NA,NA,signature,caramelised banana tarte tatin,pie,no chocolate,fruit,no nut
3,3,Stuart,7th,IN,28 August 2012,NA,NA,signature,pear and almond tarte tatin,pie,no chocolate,fruit,almond
3,3,Victoria,4th,OUT,28 August 2012,NA,NA,signature,"fig, walnut and pink peppercorn tarte tatin",pie,no chocolate,fruit,walnut
3,3,James,1st,SB,28 August 2012,NA,NA,signature,apple and lavender tarte tatin,pie,no chocolate,fruit,no nut
3,4,Cathryn,3rd,IN,4 September 2012,NA,NA,signature,"white chocolate, macadamia and coffee torte",cake,chocolate,no fruit,no nut
3,4,Danny,2nd,IN,4 September 2012,NA,NA,signature,"blackberry, white chocolate, lemon and elderflower torte",cake,chocolate,fruit,no nut
3,4,James,5th,IN,4 September 2012,NA,NA,signature,"hazelnut, chocolate and passionfruit torte",cake,chocolate,fruit,filbert
3,4,John,6th,IN,4 September 2012,NA,NA,signature,'torte noir' black forest torte with boozy cream,cake,no chocolate,no fruit,no nut
3,4,Manisha,9th,IN,4 September 2012,NA,NA,signature,"almond, chocolate and cherry torte",cake,chocolate,fruit,almond
3,4,Ryan,7th,IN,4 September 2012,NA,NA,signature,green tea opera torte,cake,no chocolate,no fruit,no nut
3,4,Sarah-Jane,4th,IN,4 September 2012,NA,NA,signature,chocolate and almond truffle torte,cake,chocolate,no fruit,almond
3,4,Stuart,8th,OUT,4 September 2012,NA,NA,signature,black forest torte,cake,no chocolate,no fruit,no nut
3,4,Brendan,1st,SB,4 September 2012,NA,NA,signature,clementine and chestnut torte,cake,no chocolate,fruit,no nut
3,5,Brendan,3rd,IN,11 September 2012,NA,NA,signature,salmon coulibiac in a scandinavian pastry,other,no chocolate,no fruit,no nut
3,5,Cathryn,1st,IN,11 September 2012,NA,NA,signature,full english wellington,other,no chocolate,no fruit,no nut
3,5,Danny,7th,IN,11 September 2012,NA,NA,signature,"chickpea, spinach & mushroom wellington",other,no chocolate,no fruit,no nut
3,5,James,6th,IN,11 September 2012,NA,NA,signature,four pig wellington,other,no chocolate,no fruit,no nut
3,5,John,2nd,IN,11 September 2012,NA,NA,signature,venison and haggis wellington,other,no chocolate,no fruit,no nut
3,5,Sarah-Jane,4th,IN,11 September 2012,NA,NA,signature,beef wellington with parma ham and gorgonzola cheese,other,no chocolate,no fruit,no nut
3,5,Manisha,5th,OUT,11 September 2012,NA,NA,signature,lamb wellington with rosemary and mint,other,no chocolate,no fruit,no nut
3,5,Ryan,8th,SB,11 September 2012,NA,NA,signature,curry spiced seabass wellington,other,no chocolate,no fruit,no nut
3,6,Cathryn,3rd,IN,18 September 2012,NA,NA,signature,"chocolate walnut whip puddings
elderflower sponges",pudding,chocolate,fruit,walnut
3,6,Danny,2nd,IN,18 September 2012,NA,NA,signature,"banoffee puddings with walnut butterscotch sauce
jubilee chocolate fondants",pudding,chocolate,fruit,walnut
3,6,James,7th,IN,18 September 2012,NA,NA,signature,banana and clove puddingsclootie dumplings,pudding,no chocolate,fruit,no nut
3,6,John,5th,IN,18 September 2012,NA,NA,signature,"spicy toffee puddings
raspberry and white chocolate puddings",pudding,chocolate,fruit,no nut
3,6,Ryan,6th,IN,18 September 2012,NA,NA,signature,"chocolate fondants
sticky ginger and date puddings",pudding,chocolate,fruit,no nut
3,6,Sarah-Jane,4th,IN,18 September 2012,NA,NA,signature,"sticky toffee puddings
granny's saucy lemon puddings",pudding,no chocolate,fruit,no nut
3,6,Brendan,1st,SB,18 September 2012,NA,NA,signature,"rhubarb, strawberry and ginger puddings
sticky toffee puddings",pudding,no chocolate,fruit,no nut
3,7,Brendan,4th,IN,25 September 2012,NA,NA,signature,chelsea bunski's,other,no chocolate,no fruit,no nut
3,7,Cathryn,5th,IN,25 September 2012,NA,NA,signature,lady arundel's manchet buns,other,no chocolate,no fruit,no nut
3,7,James,1st,IN,25 September 2012,NA,NA,signature,easter chelsea buns,other,no chocolate,no fruit,no nut
3,7,John,3rd,IN,25 September 2012,NA,NA,signature,cherry and almond saffron buns,other,no chocolate,fruit,almond
3,7,Ryan,6th,OUT,25 September 2012,NA,NA,signature,lardy cakes,cake,no chocolate,no fruit,no nut
3,7,Sarah-Jane,7th,OUT,25 September 2012,NA,NA,signature,"orange, nutmeg and saffron buns",other,no chocolate,fruit,no nut
3,7,Danny,2nd,SB,25 September 2012,NA,NA,signature,bakewell chelsea buns,other,no chocolate,no fruit,no nut
3,8,Brendan,2nd,IN,2 October 2012,NA,NA,signature,multi-seed savoury crackers,other,no chocolate,no fruit,no nut
3,8,Danny,4th,IN,2 October 2012,NA,NA,signature,spiced almond drinks crackers,other,no chocolate,no fruit,almond
3,8,John,3rd,IN,2 October 2012,NA,NA,signature,asian spice crackers,other,no chocolate,no fruit,no nut
3,8,Cathryn,5th,OUT,2 October 2012,NA,NA,signature,cheese and pickle crackers,other,no chocolate,no fruit,no nut
3,8,James,1st,SB,2 October 2012,NA,NA,signature,"smoky cayenne, cumin and chilli crackers",other,no chocolate,no fruit,no nut
3,9,Brendan,3rd,IN,9 October 2012,NA,NA,signature,"coffee meringue and hazelnut creams
apricot and pistachio friands
lime curd choux pastry cygnets",other,no chocolate,fruit,multiple
3,9,John,2nd,IN,9 October 2012,NA,NA,signature,"lemon madeleines
white chocolate and raspberry tartlets
dark chocolate and cherry macaroons",pie,chocolate,fruit,no nut
3,9,Danny,4th,OUT,9 October 2012,NA,NA,signature,"blackberry and peppermint macaroons
miniature raspberry and basil financiers
orange and white chocolate langues de chat",other,chocolate,fruit,no nut
3,9,James,1st,SB,9 October 2012,NA,NA,signature,"lemon and rhubarb tartlets
chocolate indulgence petits fours
chilli, lime and raspberry macaroons",pie,chocolate,fruit,no nut
3,10,Brendan,2nd,RUNNER UP,16 October 2012,NA,NA,signature,potato and pepper pithivier,other,no chocolate,no fruit,no nut
3,10,James,1st,RUNNER UP,16 October 2012,NA,NA,signature,spanish pithivier with chorizo and red pepper,other,no chocolate,no fruit,no nut
3,10,John,2nd,WINNER,16 October 2012,NA,NA,signature,italian sausage and roasted vegetable pithivier,other,no chocolate,no fruit,no nut
4,1,Ali,11th,IN,20 August 2013,1,2014-12-28,signature,rose and pistachio cake,cake,no chocolate,no fruit,pistachio
4,1,Beca,8th,IN,20 August 2013,1,2014-12-28,signature,grapefruit sandwich cake,cake,no chocolate,fruit,no nut
4,1,Christine,3rd,IN,20 August 2013,1,2014-12-28,signature,"strawberry, vanilla and rosewater summer basket",other,no chocolate,fruit,no nut
4,1,Deborah,9th,IN,20 August 2013,1,2014-12-28,signature,pineapple cake,cake,no chocolate,fruit,no nut
4,1,Frances,7th,IN,20 August 2013,1,2014-12-28,signature,giant jam sandwich,other,no chocolate,no fruit,no nut
4,1,Glenn,4th,IN,20 August 2013,1,2014-12-28,signature,strawberries and cream cake,cake,no chocolate,no fruit,no nut
4,1,Howard,6th,IN,20 August 2013,1,2014-12-28,signature,passion fruit and coconut cake,cake,no chocolate,fruit,no nut
4,1,Kimberley,10th,IN,20 August 2013,1,2014-12-28,signature,blood orange cake,cake,no chocolate,fruit,no nut
4,1,Lucy,2nd,IN,20 August 2013,1,2014-12-28,signature,timperley early cake,cake,no chocolate,no fruit,no nut
4,1,Mark,5th,IN,20 August 2013,1,2014-12-28,signature,lemon and poppy seed cake,cake,no chocolate,fruit,no nut
4,1,Ruby,12th,IN,20 August 2013,1,2014-12-28,signature,rhubarb and custard sandwich cake,cake,no chocolate,no fruit,no nut
4,1,Toby,13th,OUT,20 August 2013,1,2014-12-28,signature,spiced and iced carrot cake,cake,no chocolate,no fruit,no nut
4,1,Robert,1st,SB,20 August 2013,1,2014-12-28,signature,pecan and apple cake,cake,no chocolate,fruit,pecan
4,2,Ali,9th,IN,27 August 2013,1,2015-01-04,signature,italian grissini,other,no chocolate,no fruit,no nut
4,2,Beca,11th,IN,27 August 2013,1,2015-01-04,signature,fennel and chilli breadsticks,other,no chocolate,no fruit,no nut
4,2,Christine,4th,IN,27 August 2013,1,2015-01-04,signature,mediterranean breadsticks with oregano,other,no chocolate,no fruit,no nut
4,2,Deborah,8th,IN,27 August 2013,1,2015-01-04,signature,fennel & chilli breadsticks,other,no chocolate,no fruit,no nut
4,2,Frances,2nd,IN,27 August 2013,1,2015-01-04,signature,giant matchsticks,other,no chocolate,no fruit,no nut
4,2,Glenn,7th,IN,27 August 2013,1,2015-01-04,signature,rosemary and parmesan grissini,other,no chocolate,no fruit,no nut
4,2,Howard,10th,IN,27 August 2013,1,2015-01-04,signature,moroccan breadsticks,other,no chocolate,no fruit,no nut
4,2,Kimberley,1st,IN,27 August 2013,1,2015-01-04,signature,nigella seed and parmesan breadsticks,other,no chocolate,no fruit,no nut
4,2,Mark,6th,IN,27 August 2013,1,2015-01-04,signature,rosemary & raisin breadsticks,other,no chocolate,fruit,no nut
4,2,Robert,5th,IN,27 August 2013,1,2015-01-04,signature,twisty rye bread sticks,other,no chocolate,no fruit,no nut
4,2,Lucy,12th,OUT,27 August 2013,1,2015-01-04,signature,grissini with salt,other,no chocolate,no fruit,no nut
4,2,Ruby,3rd,SB,27 August 2013,1,2015-01-04,signature,mexican breadsticks,other,no chocolate,no fruit,no nut
4,3,Ali,5th,IN,3 September 2013,1,2015-01-11,signature,"coconut, raspberry and lemon meringue trifle",pudding,no chocolate,fruit,no nut
4,3,Beca,10th,IN,3 September 2013,1,2015-01-11,signature,orange and ginger trifle,pudding,no chocolate,fruit,no nut
4,3,Frances,8th,IN,3 September 2013,1,2015-01-11,signature,apple and blackberry crumble trifle,pudding,no chocolate,fruit,no nut
4,3,Glenn,1st,IN,3 September 2013,1,2015-01-11,signature,raspberry and almond trifle,pudding,no chocolate,fruit,almond
4,3,Howard,7th,IN,3 September 2013,1,2015-01-11,signature,caramel and apple trifle*,pudding,no chocolate,fruit,no nut
4,3,Kimberley,6th,IN,3 September 2013,1,2015-01-11,signature,"peach, almond and ginger trifle",pudding,no chocolate,fruit,almond
4,3,Robert,2nd,IN,3 September 2013,1,2015-01-11,signature,rhubarb and orange trifle,pudding,no chocolate,fruit,no nut
4,3,Ruby,3rd,IN,3 September 2013,1,2015-01-11,signature,desert island trifle,pudding,no chocolate,no fruit,no nut
4,3,Deborah,9th,OUT,3 September 2013,1,2015-01-11,signature,tropical trifle*,pudding,no chocolate,no fruit,no nut
4,3,Mark,11th,OUT,3 September 2013,1,2015-01-11,signature,"ginger, mango and passion fruit trifle",pudding,no chocolate,fruit,no nut
4,3,Christine,4th,SB,3 September 2013,1,2015-01-11,signature,caribbean pina colada trifle,pudding,no chocolate,no fruit,no nut
4,4,Beca,2nd,IN,10 September 2013,1,2015-01-18,signature,mamgu's cherry-apple tart,pie,no chocolate,fruit,no nut
4,4,Christine,7th,IN,10 September 2013,1,2015-01-18,signature,"granny rogers' apple, plum & cinnamon country pie",pie,no chocolate,fruit,no nut
4,4,Frances,1st,IN,10 September 2013,1,2015-01-18,signature,peach pie in the sky,pie,no chocolate,fruit,no nut
4,4,Glenn,9th,IN,10 September 2013,1,2015-01-18,signature,apple & maple syrup pie,pie,no chocolate,fruit,no nut
4,4,Howard,5th,IN,10 September 2013,1,2015-01-18,signature,apple pie with sage pastry,pie,no chocolate,fruit,no nut
4,4,Robert,3rd,IN,10 September 2013,1,2015-01-18,signature,apple and pear pie with thyme,pie,no chocolate,fruit,no nut
4,4,Ruby,6th,IN,10 September 2013,1,2015-01-18,signature,apple and marzipan pie,pie,no chocolate,fruit,no nut
4,4,Ali,8th,OUT,10 September 2013,1,2015-01-18,signature,apple and ginger pie with a pecan and walnut shortcrust pastry,pie,no chocolate,fruit,multiple
