series,episode,baker,technical,result,uk_airdate,us_season,us_airdate,showstopper_chocolate,showstopper_dessert,showstopper_fruit,showstopper_nut,signature_chocolate,signature_dessert,signature_fruit,signature_nut
1,2,Annetha,7th,OUT,24 August 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
1,2,Louise,4th,OUT,24 August 2010,NA,NA,chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
1,3,David,4th,IN,31 August 2010,NA,NA,no chocolate,other,fruit,multiple,no chocolate,other,no fruit,no nut
1,3,Edd,1st,IN,31 August 2010,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
1,3,Jasminder,5th,IN,31 August 2010,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
1,3,Miranda,3rd,IN,31 August 2010,NA,NA,chocolate,other,fruit,no nut,no chocolate,other,fruit,walnut
1,3,Ruth,2nd,IN,31 August 2010,NA,NA,chocolate,other,fruit,no nut,no chocolate,other,no fruit,pecan
1,3,Jonathan,6th,OUT,31 August 2010,NA,NA,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
1,4,Edd,3rd,IN,7 September 2010,NA,NA,no chocolate,pudding,fruit,no nut,no chocolate,pudding,fruit,no nut
1,4,Jasminder,2nd,IN,7 September 2010,NA,NA,no chocolate,pudding,fruit,no nut,no chocolate,pudding,no fruit,no nut
1,4,Miranda,1st,IN,7 September 2010,NA,NA,chocolate,pudding,fruit,no nut,no chocolate,pudding,no fruit,no nut
1,4,Ruth,4th,IN,7 September 2010,NA,NA,no chocolate,pudding,fruit,no nut,no chocolate,other,fruit,no nut
1,4,David,5th,OUT,7 September 2010,NA,NA,no chocolate,other,fruit,no nut,no chocolate,pudding,fruit,walnut
1,5,Edd,2nd,IN,14 September 2010,NA,NA,chocolate,pie,fruit,almond,no chocolate,pie,no fruit,no nut
1,5,Miranda,1st,IN,14 September 2010,NA,NA,chocolate,cake,fruit,no nut,no chocolate,pie,no fruit,no nut
1,5,Ruth,3rd,IN,14 September 2010,NA,NA,chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
1,5,Jasminder,4th,OUT,14 September 2010,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
1,6,Ruth,N/A,RUNNER UP,21 September 2010,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,cake,fruit,no nut
1,6,Miranda,N/A,RUNNER UP,21 September 2010,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
1,6,Edd,N/A,WINNER,21 September 2010,NA,NA,chocolate,pie,fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Ben,2nd,IN,16 August 2011,NA,NA,chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
2,1,Ian,10th,IN,16 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Janet,8th,IN,16 August 2011,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Jason,6th,IN,16 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Joanne,11th,IN,16 August 2011,NA,NA,chocolate,cake,fruit,no nut,chocolate,cake,fruit,no nut
2,1,Mary-Anne,4th,IN,16 August 2011,NA,NA,chocolate,cake,fruit,no nut,no chocolate,cake,no fruit,no nut
2,1,Robert,3rd,IN,16 August 2011,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Simon,9th,IN,16 August 2011,NA,NA,chocolate,cake,no fruit,no nut,chocolate,cake,no fruit,no nut
2,1,Urvashi,7th,IN,16 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Yasmin,5th,IN,16 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,1,Keith,12th,OUT,16 August 2011,NA,NA,chocolate,cake,no fruit,no nut,no chocolate,cake,no fruit,no nut
2,1,Holly,1st,SB,16 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,2,Ben,1st,IN,23 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
2,2,Holly,4th,IN,23 August 2011,NA,NA,chocolate,pie,no fruit,pistachio,no chocolate,other,no fruit,no nut
2,2,Ian,2nd,IN,23 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
2,2,Janet,8th,IN,23 August 2011,NA,NA,chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
2,2,Joanne,10th,IN,23 August 2011,NA,NA,no chocolate,pie,fruit,almond,no chocolate,other,no fruit,no nut
2,2,Mary-Anne,9th,IN,23 August 2011,NA,NA,no chocolate,pie,fruit,pecan,no chocolate,other,no fruit,no nut
2,2,Robert,5th,IN,23 August 2011,NA,NA,chocolate,pie,fruit,almond,no chocolate,other,no fruit,no nut
2,2,Urvashi,7th,IN,23 August 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,other,fruit,no nut
2,2,Yasmin,6th,IN,23 August 2011,NA,NA,chocolate,pie,fruit,filbert,no chocolate,other,no fruit,no nut
2,2,Simon,11th,OUT,23 August 2011,NA,NA,chocolate,pie,no fruit,no nut,no chocolate,other,no fruit,no nut
2,2,Jason,3rd,SB,23 August 2011,NA,NA,chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
2,3,Ben,3rd,IN,30 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,walnut
2,3,Holly,6th,IN,30 August 2011,NA,NA,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
2,3,Janet,8th,IN,30 August 2011,NA,NA,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
2,3,Jason,7th,IN,30 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
2,3,Joanne,1st,IN,30 August 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
2,3,Mary-Anne,5th,IN,30 August 2011,NA,NA,chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
2,3,Robert,4th,IN,30 August 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
2,3,Ian,10th,OUT,30 August 2011,NA,NA,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
2,3,Urvashi,9th,OUT,30 August 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
2,3,Yasmin,2nd,SB,30 August 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
2,4,Janet,4th,IN,6 September 2011,NA,NA,no chocolate,other,fruit,almond,no chocolate,other,no fruit,no nut
2,4,Joanne,8th,IN,6 September 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
2,4,Mary-Anne,2nd,IN,6 September 2011,NA,NA,no chocolate,other,fruit,filbert,no chocolate,other,no fruit,no nut
2,4,Robert,7th,IN,6 September 2011,NA,NA,chocolate,other,fruit,no nut,chocolate,other,no fruit,no nut
2,4,Yasmin,6th,IN,6 September 2011,NA,NA,chocolate,other,fruit,walnut,chocolate,other,no fruit,pistachio
2,4,Ben,5th,OUT,6 September 2011,NA,NA,chocolate,other,fruit,multiple,no chocolate,other,fruit,no nut
2,4,Holly,3rd,SB,6 September 2011,NA,NA,chocolate,other,fruit,no nut,no chocolate,pudding,fruit,no nut
2,4,Jason,1st,SB,6 September 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
2,5,Holly,4th,IN,13 September 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Joanne,6th,IN,13 September 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Mary-Anne,2nd,IN,13 September 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Yasmin,5th,IN,13 September 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Jason,7th,OUT,13 September 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Robert,3rd,OUT,13 September 2011,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,pie,no fruit,no nut
2,5,Janet,1st,SB,13 September 2011,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,no nut
2,6,Holly,3rd,IN,20 September 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
2,6,Janet,5th,IN,20 September 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
2,6,Mary-Anne,4th,IN,20 September 2011,NA,NA,no chocolate,other,fruit,no nut,no chocolate,cake,no fruit,no nut
2,6,Yasmin,2nd,OUT,20 September 2011,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
2,6,Joanne,1st,SB,20 September 2011,NA,NA,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
2,7,Holly,1st,IN,27 September 2011,NA,NA,chocolate,other,fruit,multiple,chocolate,cake,fruit,filbert
2,7,Joanne,3rd,IN,27 September 2011,NA,NA,chocolate,other,fruit,no nut,no chocolate,cake,fruit,no nut
2,7,Mary-Anne,2nd,IN,27 September 2011,NA,NA,no chocolate,other,fruit,no nut,chocolate,cake,fruit,no nut
2,7,Janet,4th,OUT,27 September 2011,NA,NA,no chocolate,other,fruit,no nut,chocolate,cake,no fruit,no nut
2,8,Holly,2nd,RUNNER UP,4 October 2011,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
2,8,Mary-Anne,3rd,RUNNER UP,4 October 2011,NA,NA,no chocolate,cake,fruit,no nut,no chocolate,other,fruit,no nut
2,8,Joanne,1st,WINNER,4 October 2011,NA,NA,chocolate,pie,fruit,pistachio,no chocolate,other,fruit,no nut
3,1,Brendan,10th,IN,14 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,walnut
3,1,Cathryn,5th,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,filbert
3,1,Danny,7th,IN,14 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
3,1,James,2nd,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,pecan
3,1,John,11th,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
3,1,Manisha,6th,IN,14 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
3,1,Peter,3rd,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,chocolate,cake,fruit,no nut
3,1,Ryan,8th,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
3,1,Sarah-Jane,1st,IN,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,chocolate,cake,fruit,filbert
3,1,Stuart,9th,IN,14 August 2012,NA,NA,no chocolate,cake,fruit,pistachio,no chocolate,cake,fruit,no nut
3,1,Natasha,12th,OUT,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,no nut
3,1,Victoria,4th,SB,14 August 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,cake,fruit,pecan
3,2,Brendan,4th,IN,21 August 2012,NA,NA,chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,2,Cathryn,8th,IN,21 August 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
3,2,Danny,3rd,IN,21 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
3,2,James,2nd,IN,21 August 2012,NA,NA,chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
3,2,Manisha,6th,IN,21 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,2,Ryan,5th,IN,21 August 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
3,2,Sarah-Jane,10th,IN,21 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
3,2,Stuart,9th,IN,21 August 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
3,2,Victoria,7th,IN,21 August 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
3,2,Peter,11th,OUT,21 August 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
3,2,John,1st,SB,21 August 2012,NA,NA,chocolate,other,fruit,walnut,no chocolate,other,fruit,no nut
3,3,Brendan,9th,IN,28 August 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,no nut
3,3,Cathryn,3rd,IN,28 August 2012,NA,NA,no chocolate,pie,fruit,pistachio,no chocolate,pie,fruit,no nut
3,3,Danny,2nd,IN,28 August 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,no nut
3,3,John,6th,IN,28 August 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,walnut
3,3,Manisha,10th,IN,28 August 2012,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,no nut
3,3,Ryan,5th,IN,28 August 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
3,3,Sarah-Jane,8th,IN,28 August 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,no nut
3,3,Stuart,7th,IN,28 August 2012,NA,NA,chocolate,pie,fruit,no nut,no chocolate,pie,fruit,almond
3,3,Victoria,4th,OUT,28 August 2012,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,walnut
3,3,James,1st,SB,28 August 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,no nut
3,4,Cathryn,3rd,IN,4 September 2012,NA,NA,no chocolate,other,fruit,almond,chocolate,cake,no fruit,no nut
3,4,Danny,2nd,IN,4 September 2012,NA,NA,chocolate,other,fruit,no nut,chocolate,cake,fruit,no nut
3,4,James,5th,IN,4 September 2012,NA,NA,chocolate,other,fruit,no nut,chocolate,cake,fruit,filbert
3,4,John,6th,IN,4 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
3,4,Manisha,9th,IN,4 September 2012,NA,NA,no chocolate,other,no fruit,no nut,chocolate,cake,fruit,almond
3,4,Ryan,7th,IN,4 September 2012,NA,NA,no chocolate,other,fruit,pistachio,no chocolate,cake,no fruit,no nut
3,4,Sarah-Jane,4th,IN,4 September 2012,NA,NA,no chocolate,other,fruit,filbert,chocolate,cake,no fruit,almond
3,4,Stuart,8th,OUT,4 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
3,4,Brendan,1st,SB,4 September 2012,NA,NA,chocolate,other,fruit,filbert,no chocolate,cake,fruit,no nut
3,5,Brendan,3rd,IN,11 September 2012,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,other,no fruit,no nut
3,5,Cathryn,1st,IN,11 September 2012,NA,NA,chocolate,pie,fruit,peanut,no chocolate,other,no fruit,no nut
3,5,Danny,7th,IN,11 September 2012,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,other,no fruit,no nut
3,5,James,6th,IN,11 September 2012,NA,NA,no chocolate,pie,no fruit,no nut,no chocolate,other,no fruit,no nut
3,5,John,2nd,IN,11 September 2012,NA,NA,no chocolate,pie,no fruit,pecan,no chocolate,other,no fruit,no nut
3,5,Sarah-Jane,4th,IN,11 September 2012,NA,NA,chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
3,5,Manisha,5th,OUT,11 September 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
3,5,Ryan,8th,SB,11 September 2012,NA,NA,no chocolate,pie,fruit,no nut,no chocolate,other,no fruit,no nut
3,6,Cathryn,3rd,IN,18 September 2012,NA,NA,no chocolate,other,no fruit,no nut,chocolate,pudding,fruit,walnut
3,6,Danny,2nd,IN,18 September 2012,NA,NA,no chocolate,other,no fruit,pistachio,chocolate,pudding,fruit,walnut
3,6,James,7th,IN,18 September 2012,NA,NA,no chocolate,other,fruit,no nut,no chocolate,pudding,fruit,no nut
3,6,John,5th,IN,18 September 2012,NA,NA,no chocolate,other,no fruit,no nut,chocolate,pudding,fruit,no nut
3,6,Ryan,6th,IN,18 September 2012,NA,NA,no chocolate,other,fruit,no nut,chocolate,pudding,fruit,no nut
3,6,Sarah-Jane,4th,IN,18 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,pudding,fruit,no nut
3,6,Brendan,1st,SB,18 September 2012,NA,NA,no chocolate,other,fruit,walnut,no chocolate,pudding,fruit,no nut
3,7,Brendan,4th,IN,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,7,Cathryn,5th,IN,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,7,James,1st,IN,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,7,John,3rd,IN,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,almond
3,7,Ryan,6th,OUT,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,cake,no fruit,no nut
3,7,Sarah-Jane,7th,OUT,25 September 2012,NA,NA,chocolate,other,fruit,no nut,no chocolate,other,fruit,no nut
3,7,Danny,2nd,SB,25 September 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,8,Brendan,2nd,IN,2 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,8,Danny,4th,IN,2 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,almond
3,8,John,3rd,IN,2 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,8,Cathryn,5th,OUT,2 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,8,James,1st,SB,2 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
3,9,Brendan,3rd,IN,9 October 2012,NA,NA,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,multiple
3,9,John,2nd,IN,9 October 2012,NA,NA,no chocolate,other,no fruit,no nut,chocolate,pie,fruit,no nut
3,9,Danny,4th,OUT,9 October 2012,NA,NA,no chocolate,other,fruit,no nut,chocolate,other,fruit,no nut
3,9,James,1st,SB,9 October 2012,NA,NA,no chocolate,other,fruit,filbert,chocolate,pie,fruit,no nut
3,10,Brendan,2nd,RUNNER UP,16 October 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
3,10,James,1st,RUNNER UP,16 October 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
3,10,John,2nd,WINNER,16 October 2012,NA,NA,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
4,1,Ali,11th,IN,20 August 2013,1,2014-12-28,chocolate,cake,fruit,no nut,no chocolate,cake,no fruit,pistachio
4,1,Beca,8th,IN,20 August 2013,1,2014-12-28,chocolate,other,fruit,no nut,no chocolate,cake,fruit,no nut
4,1,Christine,3rd,IN,20 August 2013,1,2014-12-28,chocolate,cake,fruit,no nut,no chocolate,other,fruit,no nut
4,1,Deborah,9th,IN,20 August 2013,1,2014-12-28,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
4,1,Frances,7th,IN,20 August 2013,1,2014-12-28,no chocolate,cake,no fruit,no nut,no chocolate,other,no fruit,no nut
4,1,Glenn,4th,IN,20 August 2013,1,2014-12-28,chocolate,cake,no fruit,almond,no chocolate,cake,no fruit,no nut
4,1,Howard,6th,IN,20 August 2013,1,2014-12-28,no chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
4,1,Kimberley,10th,IN,20 August 2013,1,2014-12-28,chocolate,cake,fruit,no nut,no chocolate,cake,fruit,no nut
4,1,Lucy,2nd,IN,20 August 2013,1,2014-12-28,no chocolate,cake,no fruit,no nut,no chocolate,cake,no fruit,no nut
4,1,Mark,5th,IN,20 August 2013,1,2014-12-28,chocolate,other,no fruit,no nut,no chocolate,cake,fruit,no nut
4,1,Ruby,12th,IN,20 August 2013,1,2014-12-28,chocolate,cake,no fruit,no nut,no chocolate,cake,no fruit,no nut
4,1,Toby,13th,OUT,20 August 2013,1,2014-12-28,chocolate,cake,no fruit,no nut,no chocolate,cake,no fruit,no nut
4,1,Robert,1st,SB,20 August 2013,1,2014-12-28,chocolate,cake,fruit,no nut,no chocolate,cake,fruit,pecan
4,2,Ali,9th,IN,27 August 2013,1,2015-01-04,chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Beca,11th,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Christine,4th,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Deborah,8th,IN,27 August 2013,1,2015-01-04,no chocolate,other,fruit,walnut,no chocolate,other,no fruit,no nut
4,2,Frances,2nd,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Glenn,7th,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Howard,10th,IN,27 August 2013,1,2015-01-04,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Kimberley,1st,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Mark,6th,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,no nut
4,2,Robert,5th,IN,27 August 2013,1,2015-01-04,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Lucy,12th,OUT,27 August 2013,1,2015-01-04,no chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
4,2,Ruby,3rd,SB,27 August 2013,1,2015-01-04,chocolate,other,fruit,no nut,no chocolate,other,no fruit,no nut
4,3,Ali,5th,IN,3 September 2013,1,2015-01-11,no chocolate,cake,fruit,no nut,no chocolate,pudding,fruit,no nut
4,3,Beca,10th,IN,3 September 2013,1,2015-01-11,no chocolate,other,fruit,no nut,no chocolate,pudding,fruit,no nut
4,3,Frances,8th,IN,3 September 2013,1,2015-01-11,no chocolate,cake,fruit,no nut,no chocolate,pudding,fruit,no nut
4,3,Glenn,1st,IN,3 September 2013,1,2015-01-11,no chocolate,other,fruit,no nut,no chocolate,pudding,fruit,almond
4,3,Howard,7th,IN,3 September 2013,1,2015-01-11,no chocolate,cake,fruit,no nut,no chocolate,pudding,fruit,no nut
4,3,Kimberley,6th,IN,3 September 2013,1,2015-01-11,chocolate,other,fruit,pistachio,no chocolate,pudding,fruit,almond
4,3,Robert,2nd,IN,3 September 2013,1,2015-01-11,no chocolate,other,no fruit,almond,no chocolate,pudding,fruit,no nut
4,3,Ruby,3rd,IN,3 September 2013,1,2015-01-11,chocolate,cake,fruit,no nut,no chocolate,pudding,no fruit,no nut
4,3,Deborah,9th,OUT,3 September 2013,1,2015-01-11,chocolate,cookie,fruit,no nut,no chocolate,pudding,no fruit,no nut
4,3,Mark,11th,OUT,3 September 2013,1,2015-01-11,chocolate,other,fruit,pistachio,no chocolate,pudding,fruit,no nut
4,3,Christine,4th,SB,3 September 2013,1,2015-01-11,no chocolate,cake,no fruit,no nut,no chocolate,pudding,no fruit,no nut
4,4,Beca,2nd,IN,10 September 2013,1,2015-01-18,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
4,4,Christine,7th,IN,10 September 2013,1,2015-01-18,no chocolate,pie,no fruit,no nut,no chocolate,pie,fruit,no nut
4,4,Frances,1st,IN,10 September 2013,1,2015-01-18,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,no nut
4,4,Glenn,9th,IN,10 September 2013,1,2015-01-18,no chocolate,other,fruit,walnut,no chocolate,pie,fruit,no nut
4,4,Howard,5th,IN,10 September 2013,1,2015-01-18,no chocolate,other,fruit,no nut,no chocolate,pie,fruit,no nut
4,4,Robert,3rd,IN,10 September 2013,1,2015-01-18,no chocolate,other,no fruit,no nut,no chocolate,pie,fruit,no nut
4,4,Ruby,6th,IN,10 September 2013,1,2015-01-18,no chocolate,pie,fruit,almond,no chocolate,pie,fruit,no nut
4,4,Ali,8th,OUT,10 September 2013,1,2015-01-18,no chocolate,other,fruit,no nut,no chocolate,pie,fruit,multiple
4,4,Kimberley,4th,SB,10 September 2013,1,2015-01-18,no chocolate,pie,fruit,no nut,no chocolate,pie,fruit,pecan
4,5,Beca,5th,IN,17 September 2013,1,2015-01-25,no chocolate,pie,no fruit,no nut,chocolate,other,fruit,filbert
4,5,Frances,3rd,IN,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,no fruit,no nut
4,5,Glenn,2nd,IN,17 September 2013,1,2015-01-25,no chocolate,other,no fruit,no nut,no chocolate,other,fruit,pistachio
